timestamp, memory[node1]:1, memory[node2]:1, memory[node3]:1, memory[node4]:1, memory[node5]:1
1442898639000,1365.868544,1355.952128,1216.520192,1442.295808,1243.705344
1442898699000,1373.831168,1354.203136,1216.352256,1438.482432,1242.341376
1442898759000,1377.120256,1349.644288,1226.960896,1428.668416,1250.0992
1442898819000,1374.593024,1350.955008,1247.977472,1416.78592,1252.380672
1442898879000,1380.687872,1352.523776,1246.613504,1408.049152,1252.610048
1442898939000,1384.669184,1356.115968,1255.436288,1394.491392,1254.862848
1442898999000,1389.400064,1357.467648,1257.832448,1389.944832,1256.681472
1442899059000,1392.402432,1357.746176,1258.459136,1382.211584,1256.988672
1442899119000,1392.754688,1361.682432,1260.904448,1382.060032,1262.768128
1442899179000,1396.977664,1363.185664,1261.563904,1380.691968,1263.75936
1442899239000,1401.581568,1367.36768,1268.842496,1364.48,1262.350336
1442899299000,1405.878272,1363.88608,1267.707904,1375.141888,1267.396608
1442899359000,1408.495616,1365.291008,1267.879936,1364.840448,1268.645888
1442899419000,1411.362816,1363.955712,1274.421248,1359.314944,1274.1632
1442899479000,1414.77888,1371.037696,1275.600896,1350.864896,1275.0848
1442899539000,1416.896512,1371.611136,1284.714496,1341.935616,1275.039744
1442899599000,1417.58464,1373.769728,1287.499776,1339.645952,1283.03104
1442899659000,1422.92992,1374.765056,1288.302592,1337.249792,1282.760704
1442899719000,1422.389248,1376.698368,1298.624512,1331.228672,1282.940928
1442899779000,1424.519168,1377.488896,1299.72224,1333.161984,1290.661888
1442899839000,1430.134784,1376.661504,1305.82528,1323.343872,1289.863168
1442899899000,1432.694784,1372.594176,1305.780224,1314.992128,1296.715776
1442899959000,1433.800704,1375.15008,1310.957568,1311.879168,1296.429056
1442900019000,1435.50464,1379.782656,1311.571968,1304.608768,1296.310272
1442900079000,1436.962816,1385.24672,1311.465472,1306.640384,1300.545536
1442900139000,1439.350784,1383.99744,1319.636992,1299.931136,1299.795968
1442900199000,1441.665024,1389.674496,1321.299968,1294.831616,1299.329024
1442900259000,1441.40288,1389.162496,1327.489024,1289.854976,1304.793088
1442900319000,1440.571392,1388.6464,1327.988736,1284.513792,1302.065152
1442900379000,1439.031296,1393.545216,1330.798592,1280.987136,1307.369472
1442900439000,1438.724096,1397.993472,1328.90624,1285.664768,1306.37824
1442900499000,1442.275328,1402.843136,1327.94368,1284.333568,1306.861568
1442900559000,1440.026624,1397.276672,1330.192384,1281.662976,1311.244288
1442900619000,1440.137216,1398.714368,1330.221056,1283.280896,1312.124928
1442900679000,1440.313344,1396.98176,1336.344576,1281.970176,1312.837632
1442900739000,1440.01024,1399.898112,1336.414208,1280.274432,1316.724736
1442900799000,1446.096896,1393.012736,1333.63712,1290.584064,1314.926592
1442900859000,1448.136704,1396.031488,1335.803904,1286.28736,1313.685504
1442900919000,1448.026112,1394.958336,1334.39488,1285.107712,1314.52928
1442900979000,1451.646976,1402.589184,1339.33056,1285.357568,1312.874496
1442901039000,1457.614848,1397.940224,1332.682752,1281.69984,1309.2864
1442901099000,1464.000512,1389.19936,1331.359744,1280.622592,1311.862784
1442901159000,1462.321152,1393.774592,1336.05376,1284.501504,1307.369472
1442901219000,1462.317056,1392.254976,1333.768192,1284.026368,1312.006144
1442901279000,1472.339968,1393.598464,1338.71616,1276.534784,1306.505216
1442901339000,1475.698688,1389.899776,1344.59392,1283.19488,1297.866752
1442901399000,1447.006208,1362.362368,1324.638208,1261.223936,1359.695872
1442901459000,1450.053632,1364.365312,1315.393536,1267.290112,1356.087296
1442901519000,1445.986304,1359.880192,1318.109184,1267.052544,1346.158592
1442901579000,1440.022528,1354.07616,1311.322112,1271.11168,1343.893504
1442901639000,1436.110848,1359.21664,1306.447872,1268.441088,1338.200064
1442901699000,1426.374656,1352.99072,1298.550784,1264.308224,1337.757696
1442901759000,1426.456576,1345.912832,1315.098624,1256.370176,1328.92672
1442901819000,1418.149888,1341.284352,1297.641472,1261.182976,1330.819072
1442901879000,1418.100736,1332.518912,1294.630912,1251.627008,1323.27424
1442901939000,1426.784256,1321.02144,1282.473984,1242.427392,1318.580224
1442901999000,1418.944512,1314.226176,1280.032768,1236.873216,1318.4
1442902059000,1412.775936,1305.501696,1272.631296,1234.833408,1308.127232
1442902119000,1407.848448,1306.74688,1264.664576,1226.518528,1299.92704
1442902179000,1400.029184,1301.364736,1255.047168,1225.445376,1291.845632
1442902239000,1393.442816,1291.38688,1247.834112,1215.328256,1278.722048
1442902299000,1391.116288,1284.042752,1246.601216,1204.584448,1276.178432
1442902359000,1387.823104,1288.404992,1251.905536,1193.025536,1265.332224
1442902419000,1377.775616,1291.255808,1246.851072,1187.815424,1263.153152
1442902479000,1375.49824,1284.456448,1235.738624,1193.545728,1265.045504
1442902539000,1374.593024,1279.926272,1232.228352,1193.320448,1253.453824
1442902599000,1369.182208,1274.2656,1231.572992,1198.006272,1240.997888
1442902659000,1368.092672,1270.345728,1231.843328,1199.104,1229.500416
1442902719000,1365.901312,1272.745984,1231.736832,1194.074112,1225.469952
1442902779000,1359.998976,1270.460416,1223.041024,1189.146624,1226.60864
1442902839000,1386.389504,1268.363264,1216.856064,1181.61408,1222.787072
1442902899000,1448.357888,1249.153024,1201.995776,1164.587008,1202.499584
1442902959000,1437.167616,1240.928256,1192.083456,1150.005248,1193.28768
1442903019000,1422.729216,1223.204864,1283.833856,1139.490816,1164.660736
1442903079000,1398.226944,1215.40608,1279.696896,1131.769856,1155.33824
1442903139000,1383.231488,1218.449408,1277.366272,1125.953536,1138.077696
1442903199000,1375.031296,1210.724352,1267.953664,1108.873216,1128.382464
1442903259000,1364.811776,1204.170752,1254.268928,1103.773696,1118.081024
1442903319000,1357.29152,1196.93312,1249.992704,1099.255808,1116.07808
1442903380000,1352.388608,1195.876352,1240.539136,1095.282688,1129.074688
1442903440000,1357.2096,1198.661632,1241.157632,1096.470528,1132.228608
1442903500000,1353.588736,1201.401856,1243.488256,1102.31552,1127.948288
1442903560000,1349.603328,1211.936768,1245.65504,1101.316096,1126.617088
1442903620000,1341.70624,1212.489728,1244.483584,1115.783168,1128.505344
1442903680000,1338.75712,1214.570496,1248.13312,1114.038272,1125.933056
1442903740000,1334.530048,1213.513728,1244.01664,1115.324416,1133.244416
1442903800000,1333.20704,1213.681664,1236.467712,1119.371264,1131.237376
1442903860000,1325.727744,1219.043328,1236.443136,1121.251328,1137.967104
1442903920000,1315.397632,1225.682944,1232.60928,1122.111488,1140.363264
1442903980000,1311.158272,1224.204288,1237.553152,1119.444992,1135.624192
1442904040000,1315.340288,1229.053952,1230.839808,1118.683136,1132.793856
1442904100000,1312.731136,1229.283328,1230.606336,1131.065344,1128.927232
1442904161000,1308.778496,1226.993664,1226.612736,1139.990528,1124.896768
1442904222000,1302.925312,1227.89888,1229.135872,1138.434048,1126.572032
1442904282000,1297.035264,1225.412608,1228.169216,1132.404736,1139.245056
1442904342000,1294.6432,1232.642048,1219.497984,1127.555072,1145.9584
1442904402000,1287.258112,1227.374592,1226.747904,1130.672128,1147.61728
1442904462000,1287.565312,1231.712256,1220.345856,1133.28128,1147.400192
1442904522000,1283.944448,1232.91648,1212.84608,1142.689792,1148.813312
1442904582000,1283.620864,1244.852224,1210.646528,1137.926144,1144.344576
1442904642000,1280.77824,1245.67552,1203.9168,1140.55168,1140.690944
1442904702000,1277.902848,1243.713536,1199.63648,1147.645952,1141.518336
1442904762000,1273.450496,1247.514624,1196.941312,1157.931008,1135.386624
1442904822000,1264.136192,1248.546816,1188.364288,1157.7344,1147.338752
1442904882000,1263.906816,1254.52288,1188.151296,1156.825088,1146.109952
1442904942000,1255.1168,1257.96352,1185.816576,1164.386304,1146.974208
1442905002000,1246.838784,1257.689088,1183.059968,1171.320832,1149.599744
1442905062000,1247.383552,1256.337408,1175.220224,1176.113152,1150.414848
1442905122000,1243.328512,1265.50016,1165.684736,1175.49056,1152.069632
1442905182000,1242.70592,1265.831936,1158.938624,1181.118464,1151.279104
1442905242000,1241.223168,1266.470912,1156.194304,1181.175808,1164.3904
1442905302000,1240.59648,1266.270208,1152.151552,1180.594176,1165.737984
1442905362000,1239.351296,1265.532928,1151.512576,1179.62752,1162.235904
1442905422000,1240.752128,1265.803264,1153.437696,1179.267072,1162.91584
1442905482000,1239.048192,1263.177728,1151.827968,1178.636288,1161.412608
1442905542000,1242.669056,1278.496768,1151.97952,1177.00608,1166.041088
1442905602000,1239.277568,1276.5184,1155.620864,1177.083904,1165.377536
1442905662000,1236.8896,1273.987072,1155.923968,1178.816512,1162.211328
1442905722000,1237.909504,1269.235712,1153.040384,1186.893824,1172.140032
1442905782000,1235.267584,1267.982336,1150.70976,1180.471296,1172.103168
1442905842000,1235.079168,1265.143808,1148.37504,1176.993792,1171.644416
1442905902000,1231.679488,1266.151424,1143.05024,1174.437888,1169.088512
1442905963000,1237.62688,1263.607808,1145.372672,1164.857344,1171.013632
1442906023000,1234.173952,1261.457408,1157.689344,1152.303104,1171.202048
1442906083000,1235.492864,1262.587904,1154.543616,1143.689216,1171.61984
1442906143000,1234.116608,1262.649344,1151.684608,1143.312384,1172.41856
1442906203000,1230.094336,1258.950656,1147.10528,1158.918144,1177.12896
1442906263000,1229.135872,1253.339136,1144.037376,1160.425472,1177.550848
1442906323000,1226.350592,1260.76928,1144.025088,1160.245248,1180.147712
1442906383000,1225.576448,1256.198144,1146.712064,1161.883648,1179.951104
1442906444000,1199.099904,1233.764352,1128.951808,1144.291328,1156.739072
1442906504000,1192.198144,1222.848512,1131.9296,1130.192896,1145.294848
